timeOpen;timeClose;timeHigh;timeLow;open;high;low;close;volume;marketCap;timestamp
"2023-07-17T00:00:00.000Z";"2023-07-17T23:59:59.999Z";"2023-07-17T05:13:00.000Z";"2023-07-17T18:52:00.000Z";68.4014006715;70.5731317162;65.675390078;66.8304713115;73692183.49785195;968944803.8375974;"2023-07-17T23:59:59.999Z"
"2023-07-16T00:00:00.000Z";"2023-07-16T23:59:59.999Z";"2023-07-16T17:27:00.000Z";"2023-07-16T23:38:00.000Z";70.2426498936;70.6550041828;68.2248250084;68.3873633056;67773773.84415698;989856103.384196;"2023-07-16T23:59:59.999Z"
"2023-07-15T00:00:00.000Z";"2023-07-15T23:59:59.999Z";"2023-07-15T12:10:00.000Z";"2023-07-15T16:10:00.000Z";72.3233652933;73.0998599687;69.8939334599;70.2423665766;89285027.12992439;1016740568.8559824;"2023-07-15T23:59:59.999Z"
"2023-07-14T00:00:00.000Z";"2023-07-14T23:59:59.999Z";"2023-07-14T15:37:00.000Z";"2023-07-14T20:36:00.000Z";70.4807827209;77.7312163502;70.0417117115;72.3265507978;183969752.29426292;1049385990.3324648;"2023-07-14T23:59:59.999Z"
"2023-07-13T00:00:00.000Z";"2023-07-13T23:59:59.999Z";"2023-07-13T23:59:00.000Z";"2023-07-13T01:40:00.000Z";67.9202891091;70.48697196;67.1185683897;70.48697196;100536251.87289141;1027741035.412666;"2023-07-13T23:59:59.999Z"
"2023-07-12T00:00:00.000Z";"2023-07-12T23:59:59.999Z";"2023-07-12T13:24:00.000Z";"2023-07-12T00:10:00.000Z";66.6261977905;69.3866194039;66.5270182443;67.9323633206;95662446.67238125;994486265.2389295;"2023-07-12T23:59:59.999Z"
"2023-07-11T00:00:00.000Z";"2023-07-11T23:59:59.999Z";"2023-07-11T15:20:00.000Z";"2023-07-11T00:54:00.000Z";63.0358874258;67.5601305814;62.8163367002;66.6271345816;85531532.3851302;964957877.8546634;"2023-07-11T23:59:59.999Z"
"2023-07-10T00:00:00.000Z";"2023-07-10T23:59:59.999Z";"2023-07-10T00:04:00.000Z";"2023-07-10T22:25:00.000Z";65.6173381509;65.673636195;62.8659854569;63.0332205099;71480292.48321737;915228132.5030946;"2023-07-10T23:59:59.999Z"
"2023-07-09T00:00:00.000Z";"2023-07-09T23:59:59.999Z";"2023-07-09T15:08:00.000Z";"2023-07-09T09:37:00.000Z";67.0730159451;67.6152656917;65.4431398368;65.6167865858;66491071.8859053;949488244.4856457;"2023-07-09T23:59:59.999Z"
"2023-07-08T00:00:00.000Z";"2023-07-08T23:59:59.999Z";"2023-07-08T09:02:00.000Z";"2023-07-08T20:19:00.000Z";68.174277608;70.14721073;66.4965367599;67.0710301578;76154787.31334424;970648743.2975732;"2023-07-08T23:59:59.999Z"
"2023-07-07T00:00:00.000Z";"2023-07-07T23:59:59.999Z";"2023-07-07T23:59:00.000Z";"2023-07-07T00:04:00.000Z";64.9548876365;68.1786941211;64.1967351583;68.1786941211;72875906.95506683;993581282.2395035;"2023-07-07T23:59:59.999Z"
"2023-07-06T00:00:00.000Z";"2023-07-06T23:59:59.999Z";"2023-07-06T09:37:00.000Z";"2023-07-06T23:59:00.000Z";68.8164228081;71.5012662474;64.9836993268;64.9836993268;104135280.84351498;943148861.4540917;"2023-07-06T23:59:59.999Z"
