Date,Open,High,Low,Close,Adj Close,Volume
2021-06-20,6.313427,7.291572,6.188947,7.108192,7.108192,355604226
2021-06-21,7.096091,7.173451,5.549792,5.582176,5.582176,341569809
2021-06-22,5.574427,6.325589,5.051813,5.693359,5.693359,448481249
2021-06-23,5.702162,6.317208,5.467624,6.024817,6.024817,286176551
2021-06-24,5.912702,6.148864,5.568529,5.908966,5.908966,151359733
2021-06-25,5.920020,6.035182,5.163321,5.289904,5.289904,172421059
2021-06-26,5.278294,5.718242,5.085996,5.718242,5.718242,161942037
2021-06-27,5.724352,5.980071,5.440613,5.954248,5.954248,141412736
2021-06-28,5.965487,6.508713,5.895065,6.343222,6.343222,154495164
2021-06-29,6.362692,7.095047,6.340393,6.645545,6.645545,191052667
2021-06-30,6.669114,6.899448,6.124188,6.874327,6.874327,192641193
2021-07-01,6.880694,6.880694,6.069623,6.276199,6.276199,142298991
2021-07-02,6.269544,6.352780,5.904303,6.251574,6.251574,111410725
2021-07-03,6.252394,6.490110,6.125001,6.417850,6.417850,84885857
2021-07-04,6.421361,6.929239,6.216312,6.696167,6.696167,135435598
2021-07-05,6.692833,6.929304,6.089246,6.808005,6.808005,186129026
2021-07-06,6.806922,8.033411,6.806922,7.594238,7.594238,500645699
2021-07-07,7.599893,8.206607,7.428272,7.444176,7.444176,266880763
2021-07-08,7.450882,7.454083,6.591666,6.686671,6.686671,196302746
2021-07-09,6.666373,7.198928,6.441534,7.062295,7.062295,188194776
2021-07-10,7.077827,7.245772,6.621098,6.732696,6.732696,119006375
2021-07-11,6.727545,7.066603,6.595392,6.860161,6.860161,127487753
2021-07-12,6.863827,6.972922,6.285301,6.457232,6.457232,122784266
2021-07-13,6.443119,6.463216,5.889960,6.048746,6.048746,133535116
2021-07-14,6.058461,6.207902,5.721975,6.012274,6.012274,146510874
2021-07-15,6.022720,6.245675,5.612638,5.662072,5.662072,170076894
2021-07-16,5.683177,5.828676,5.362416,5.393327,5.393327,129898643
2021-07-17,5.378585,6.350604,5.346147,6.341837,6.341837,338525241
2021-07-18,6.347628,6.718420,5.952421,6.008464,6.008464,191089784
2021-07-19,5.999365,6.053047,5.495703,5.615133,5.615133,184570583
2021-07-20,5.635488,5.716058,5.122071,5.365003,5.365003,168178308
2021-07-21,5.341136,6.074856,5.216644,5.990520,5.990520,194795952
2021-07-22,6.003042,6.984228,5.972170,6.980439,6.980439,372341220
2021-07-23,7.010451,7.312484,6.519161,7.299438,7.299438,334253736
2021-07-24,7.297942,7.306098,6.707823,6.853591,6.853591,206440870
2021-07-25,6.828991,7.074420,6.601614,7.074420,7.074420,182416374
2021-07-26,7.073879,8.157514,7.018131,7.021324,7.021324,439764836
2021-07-27,7.019427,7.231267,6.621532,6.926868,6.926868,302374759
2021-07-28,6.937629,7.203418,6.778163,6.850017,6.850017,228398088
2021-07-29,6.883187,6.977400,6.714614,6.860869,6.860869,172952098
2021-07-30,6.876685,7.176945,6.661326,7.149168,7.149168,202272567
2021-07-31,7.143379,7.591455,6.923916,7.486181,7.486181,208757589
2021-08-01,7.463115,7.749308,7.049865,7.167524,7.167524,223306229
2021-08-02,7.157740,7.330581,6.984589,7.040036,7.040036,140778238
2021-08-03,7.032640,7.123061,6.637395,6.783122,6.783122,155924601
2021-08-04,6.816147,7.491710,6.715366,7.388114,7.388114,167438446
2021-08-05,7.397697,8.151605,6.929117,8.132207,8.132207,302912447
